,Chemical,CAS,Cell.type,FBS,Well,Q_cells,Q_media_free,Q_media,F_free_media
128,Eugenol F,97-53-0,Balbc_3T3,2,96,1.45E-06,1.20E-04,1.23E-04,0.974200527
129,Methyl-antranilate,134-20-3,Balbc_3T3,2,96,6.56E-07,1.31E-04,1.33E-04,0.99019704
130,Lilyfore,285977-85-7,Balbc_3T3,2,96,8.01E-06,6.94E-05,8.98E-05,0.77326174
131,Damascone beta,23726-91-2,Balbc_3T3,2,96,2.07E-05,1.54E-05,7.61E-05,0.202935234
132,Veloutone,14595-54-1,Balbc_3T3,2,96,4.60E-05,3.40E-06,6.72E-05,0.050571755
133,Verdox,82356-51-2,Balbc_3T3,2,96,8.10E-05,3.88E-07,4.88E-05,0.00796788
134,Nirvanol,1506-02-1,Balbc_3T3,2,96,6.03E-05,1.67E-06,5.87E-05,0.028437992
135,Cetalox,3738-00-9,Balbc_3T3,2,96,4.55E-05,2.54E-06,5.86E-05,0.043327129
136,Tonalide,21145-77-7,Balbc_3T3,2,96,6.03E-05,1.67E-06,5.87E-05,0.028437992
137,Caffeine,58-08-2,Balbc_3T3,2,96,3.67E-08,1.48E-04,1.48E-04,1.000304038
138,Lamotrigine,84057-84-1,Balbc_3T3,2,96,2.61E-06,1.08E-04,1.14E-04,0.947481012
139,Diclofenac,15307-79-6,Balbc_3T3,2,96,3.28E-08,1.50E-04,1.50E-04,0.999969329
140,"2,4-Dichlorophenoxyacetic",94-75-7,Balbc_3T3,2,96,4.54E-07,1.38E-04,1.50E-04,0.924333076
141,(S)-Naproxen,22204-53-1,Balbc_3T3,2,96,9.35E-07,1.23E-04,1.49E-04,0.828427689
142,Ibuprofen,15687-27-1,Balbc_3T3,2,96,2.20E-06,8.11E-05,1.48E-04,0.549262767
143,Torasemide,56211-40-6,Balbc_3T3,2,96,3.43E-06,9.85E-05,1.32E-04,0.743698713
144,Warfarin,81-81-2,Balbc_3T3,2,96,3.77E-07,1.41E-04,1.49E-04,0.941505608
145,di-n-butylphthalate,84-74-2,Balbc_3T3,2,96,2.53E-05,8.95E-06,8.45E-05,0.105854763
146,hexachlorophene,70-30-4,Balbc_3T3,2,96,1.02E-04,4.83E-07,4.75E-05,0.010156585
147,hexamethylenetetramine,100-97-0,Balbc_3T3,2,96,2.79E-08,1.40E-04,1.40E-04,1.000385412
148,Malathion,121-75-5,Balbc_3T3,2,96,1.74E-06,1.17E-04,1.20E-04,0.967913055
149,pentachlorophenol,87-86-5,Balbc_3T3,2,96,8.17E-06,1.16E-05,1.42E-04,0.08201945
150,"2,2,2-trichloroethanol",115-20-8,Balbc_3T3,2,96,2.37E-07,1.29E-04,1.30E-04,0.997078122
151,diethylphthalate,84-66-2,Balbc_3T3,2,96,2.03E-06,1.13E-04,1.18E-04,0.961116816
152,4-chlorophenol,106-48-9,Balbc_3T3,2,96,1.84E-06,1.15E-04,1.19E-04,0.965509205
153,permethrin,52645-53-1,Balbc_3T3,2,96,8.27E-05,3.53E-07,4.87E-05,0.007245657
154,Aniline,62-53-3,Balbc_3T3,2,96,9.78E-08,1.43E-04,1.43E-04,0.999464278
155,4-fluoroaniline,371-40-4,Balbc_3T3,2,96,1.50E-07,1.40E-04,1.40E-04,0.998681172
156,"2,4,6-trichlorophenol",88-06-2,Balbc_3T3,2,96,1.36E-05,4.12E-05,7.79E-05,0.528719239
